"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus659",0.375,0.25,0.45,0.2727,0.1429,0.0833,0.2778,0.4545,0.125,0.05,0.5,0.0556,0.4375,0.4583,0.5,0.1667,0.3125,0.3333,0.1667,0.2778,0.3,0.4,0.2273,0.2917
"locus660",0.4167,0,0.1,0.2727,0,0.0833,0.1667,0,0.4375,0.05,0.1875,0,0.1875,0.125,0.4444,0.3333,0.125,0.2778,0.3333,0.4444,0.4,0.1,0.4091,0.125
"locus661",0.1667,0.0625,0,0.1364,0,0.0833,0.0556,0,0,0,0.25,0,0.0625,0.0417,0.1111,0.1667,0,0,0.1667,0.1111,0.25,0.1,0.1818,0.0833
"locus662",0,0,0,0,0.0714,0,0,0.0909,0.0625,0.05,0,0,0,0.0833,0.0556,0,0,0,0,0.0556,0.1,0,0,0
"locus663",0,0,0.05,0.0455,0,0.125,0.0556,0,0,0,0,0,0,0.0417,0,0,0,0,0,0,0,0.2,0.0455,0
"locus664",0,0,0,0.0455,0,0,0.0556,0.1364,0,0,0,0,0,0,0,0,0,0.0556,0.1667,0,0.05,0.1,0.2273,0.0833
"locus665",0.125,0.25,0,0,0.2143,0.25,0,0.2727,0.0625,0.05,0,0,0.1875,0.25,0.2222,0,0,0.3333,0,0.0556,0.1,0.2,0.1364,0.1667
"locus666",0,0.0625,0.05,0,0,0.1667,0.1111,0,0,0,0,0,0,0.0417,0.1111,0,0,0,0,0.0556,0,0.1,0,0.0417
"locus667",0,0.0625,0,0,0.0714,0,0.0556,0.0909,0.0625,0.05,0,0.1111,0.0625,0.0417,0,0,0.0625,0,0.0833,0,0,0.1,0.1364,0
"locus668",0,0.0625,0.15,0.0455,0.2857,0.125,0.3333,0.2273,0,0,0.0625,0,0.25,0.125,0,0.1667,0.3125,0.0556,0.3333,0.0556,0.05,0,0.1818,0.2917
"locus669",0.0417,0.0625,0,0,0,0,0,0.0455,0,0,0.0625,0,0,0.0833,0,0,0,0.0556,0.0833,0,0,0,0.1364,0
"locus670",0,0,0,0.0909,0,0,0,0.0455,0,0,0,0,0,0.0833,0.0556,0,0.25,0,0,0,0,0,0.1818,0
"locus671",0.2917,0.4375,0.3,0.0909,0.3571,0.2917,0.3889,0.4545,0.3125,0.4,0.375,0.2222,0.3125,0.4167,0.3333,0.1667,0.375,0.3889,0.4167,0.4444,0.25,0.1,0.4091,0.4167
"locus672",0.3333,0.1875,0.15,0.0455,0,0.125,0.2222,0.2727,0.1875,0.05,0.125,0.0556,0.125,0.25,0.3333,0,0.1875,0.0556,0.1667,0.1111,0.2,0.2,0.3182,0
"locus673",0.0833,0,0,0,0.0714,0,0.1111,0,0,0.25,0.0625,0.1111,0.0625,0.0417,0,0,0.0625,0,0,0,0.1,0.2,0,0.25
"locus674",0,0.25,0.05,0.0909,0.3571,0.5,0.3889,0.1818,0.4375,0.35,0.125,0.4444,0.1875,0.1667,0.1667,0,0.0625,0.2222,0,0.0556,0.2,0.2,0.2727,0.4583
"locus675",0,0.125,0.05,0,0.3571,0.2083,0.1111,0.0455,0,0.4,0.125,0.3889,0,0.125,0,0.1667,0.0625,0.0556,0,0,0,0.1,0.1364,0.0417
"locus676",0.2083,0.5,0.25,0.4545,0.3571,0.375,0.4444,0.1818,0.0625,0.2,0.4375,0.3889,0,0.375,0,0.1667,0.25,0.1111,0.4167,0.1667,0.35,0.4,0.4545,0.2917
"locus677",0.125,0,0,0,0,0,0.0556,0.0909,0,0,0,0,0,0.0833,0.1667,0.3333,0,0.3333,0,0.0556,0.05,0,0.1364,0.2917
"locus678",0.0417,0.0625,0,0,0.0714,0.1667,0.2222,0,0,0,0,0.1111,0,0,0,0,0.0625,0,0,0.0556,0,0,0.1364,0.0417
"locus679",0,0,0.05,0.1818,0,0.0417,0,0,0,0.05,0.0625,0,0,0.0417,0.0556,0,0,0,0,0,0.05,0.05,0,0.0833
"locus680",0.3333,0,0.05,0.0909,0,0,0,0,0.125,0.05,0.0625,0,0.0625,0.0417,0.3889,0,0.0625,0,0,0.3889,0.2,0.2,0.0455,0.0417
"locus681",0.0833,0.0625,0,0,0,0,0.1111,0,0,0,0,0,0,0.0417,0.1667,0.1667,0.0625,0,0,0,0.05,0.05,0.1364,0
"locus682",0.0417,0.3125,0.05,0,0,0.25,0,0,0,0.2,0,0.3333,0.125,0,0.1111,0,0,0.0556,0,0,0.05,0,0.0455,0
"locus683",0.3333,0.4375,0.5,0.5,0.0714,0.125,0.3889,0.5,0.4375,0.1,0.5,0,0.4375,0.5,0.5,0.5,0.5,0.4444,0.1667,0.5,0.4,0.45,0.4545,0.2917
"locus684",0.125,0.375,0.25,0.1818,0,0,0.2222,0.2727,0.5,0.1,0.125,0.0556,0.1875,0.125,0.1111,0,0.375,0,0.1667,0.2222,0.2,0.4,0.1818,0.0417
"locus685",0,0.125,0.05,0,0.0714,0.1667,0.1667,0,0,0.25,0,0.0556,0,0,0,0,0,0,0.1667,0,0,0,0,0.0417
"locus686",0.4583,0.1875,0.4,0.1818,0.0714,0.1667,0.1667,0.2727,0,0.05,0,0,0.375,0.3333,0.3333,0.3333,0.1875,0.4444,0.25,0.0556,0.35,0.25,0.1818,0.0833
"locus687",0.2083,0,0,0,0,0,0,0.3182,0.0625,0.05,0.125,0.2222,0.125,0.0417,0.2778,0,0.0625,0.1667,0,0,0.2,0.1,0,0
"locus688",0,0.1875,0,0,0.4286,0.2917,0.0556,0.0455,0,0.3,0.125,0.3333,0.0625,0,0,0,0.125,0.0556,0.0833,0,0,0,0.0909,0.1667
"locus689",0.4583,0.1875,0.4,0.2727,0.0714,0.0833,0.0556,0.4545,0.4375,0,0.25,0.0556,0.4375,0.2083,0.4444,0.3333,0.125,0.3889,0.0833,0.0556,0.05,0.45,0.0909,0.2083
"locus690",0.1667,0.3125,0.05,0.0909,0.5,0.2083,0.3333,0.0909,0.125,0.15,0.0625,0.5,0.0625,0.2083,0.0556,0,0.125,0,0.1667,0,0.1,0.1,0.1364,0.2083
"locus691",0.2917,0,0.3,0.0909,0,0,0.0556,0.3182,0,0.1,0.125,0,0.25,0.4583,0.3889,0,0.3125,0.2222,0,0.3333,0.1,0.3,0.1364,0
"locus692",0,0,0.05,0,0.0714,0.2083,0.1111,0.0909,0,0.1,0.125,0.2222,0.125,0.0417,0,0,0.0625,0.1111,0.4167,0,0.05,0.05,0.0455,0.1667
"locus693",0.25,0.125,0,0,0,0.0417,0,0,0.0625,0.05,0.0625,0,0,0,0.1111,0,0.0625,0,0,0,0.15,0.05,0.0455,0
"locus694",0,0.0625,0.05,0,0.1429,0,0,0.0909,0,0.05,0,0,0.0625,0.1667,0.1111,0,0.125,0,0,0,0,0.1,0.0455,0
"locus695",0.2083,0.5,0.2,0.3636,0.5,0.25,0.1667,0.1818,0.375,0.35,0.1875,0.3333,0.25,0.4167,0.0556,0.1667,0.375,0.2778,0.4167,0.1111,0.15,0.2,0.2727,0.0833
"locus696",0.0833,0.0625,0.05,0,0,0,0,0.1364,0,0.05,0,0,0.0625,0.125,0,0,0.125,0.1111,0,0,0,0,0.0909,0.0833
"locus697",0.125,0.0625,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556,0,0.3333,0,0,0.0455,0
"locus698",0.1667,0,0.2,0.0455,0.2143,0.0833,0,0.1364,0.0625,0.05,0.25,0,0.3125,0.0833,0.1667,0,0.25,0,0.25,0.0556,0.1,0.1,0,0.125
"locus699",0.1667,0.1875,0.45,0.3182,0,0.0833,0,0.3636,0.1875,0.05,0.3125,0,0.5,0.4583,0.3333,0.3333,0.5,0.3333,0.0833,0.3889,0.25,0.3,0.2727,0.0417
"locus700",0.0833,0.0625,0,0.0455,0,0.0417,0,0.0455,0.0625,0.05,0.0625,0.1111,0,0.0833,0.2222,0.1667,0.0625,0,0.0833,0,0.05,0.05,0.0455,0
"locus701",0.1667,0.375,0.45,0.4091,0.0714,0.3333,0.1667,0.2727,0.5,0.15,0.125,0.2778,0.375,0.4583,0.3889,0.5,0.375,0.4444,0.0833,0.4444,0.45,0.25,0.4545,0.1667
"locus702",0.2083,0.125,0.5,0.1364,0,0.0833,0.0556,0.4545,0.3125,0.05,0.0625,0.0556,0.4375,0.4583,0.2222,0.1667,0.5,0.3889,0.1667,0,0.05,0.4,0,0.0417
"locus703",0.1667,0.1875,0.45,0.2727,0,0.1667,0.2222,0.3636,0.5,0.1,0.25,0.1667,0.1875,0.4167,0.2222,0.5,0.1875,0.4444,0.4167,0.3333,0.2,0.3,0.2273,0.125
"locus704",0,0.0625,0.05,0.0909,0,0.125,0,0,0,0.05,0,0.0556,0.1875,0.0417,0,0.3333,0,0.0556,0.25,0,0,0,0.0909,0
"locus705",0.25,0.5,0.25,0.4091,0.4286,0.4583,0.2778,0.4545,0.3125,0.4,0.3125,0.4444,0.125,0.25,0.5,0.5,0.375,0.5,0.4167,0.2222,0.5,0.45,0.3636,0.375
"locus706",0.3333,0.375,0.1,0.1364,0.0714,0.3333,0.3333,0.1818,0.375,0.25,0.3125,0.3889,0.1875,0.2917,0.3333,0,0.125,0.3333,0.1667,0.4444,0.25,0.1,0.4545,0.25
"locus707",0.375,0.4375,0.35,0.1818,0.4286,0.4583,0.5,0.4091,0.375,0.35,0.3125,0.3333,0.25,0.25,0.4444,0.5,0.375,0.4444,0.4167,0.3333,0.35,0.3,0.3636,0.4583
"locus708",0.25,0,0.05,0.0909,0,0,0.0556,0,0,0,0.3125,0,0,0.125,0,0.3333,0,0.0556,0,0,0.35,0,0,0
"locus709",0.125,0,0,0,0,0,0.0556,0.0909,0.125,0,0,0,0,0.0417,0.2222,0,0,0.0556,0,0.1111,0.15,0.05,0.0909,0.0833
"locus710",0.125,0,0.2,0,0,0.0417,0.0556,0.0909,0.25,0,0.125,0,0.3125,0.1667,0.1111,0,0.0625,0.0556,0.0833,0,0.2,0.2,0,0
"locus711",0.0417,0,0.1,0.1364,0,0.0417,0.0556,0.0455,0.0625,0.15,0.0625,0.0556,0.1875,0.0417,0.0556,0.1667,0.0625,0.0556,0.0833,0.2222,0,0.2,0.0455,0
"locus712",0.0833,0.375,0.1,0.1364,0,0.375,0.1667,0,0.1875,0.45,0,0.3333,0,0.0833,0.0556,0.1667,0,0.0556,0,0.1111,0.25,0,0.3182,0.0417
"locus713",0.25,0.0625,0.2,0.0455,0,0,0.1667,0,0.0625,0.05,0.125,0,0.25,0.0833,0.4444,0,0.3125,0.0556,0,0.3889,0.25,0.1,0.0455,0.0833
"locus714",0.3333,0.4375,0.35,0.1364,0.1429,0.25,0.1111,0.3182,0.3125,0.3,0.375,0.1667,0.4375,0.4167,0.3333,0.3333,0.375,0.3889,0.25,0.3333,0.35,0.4,0.2273,0.2083
"locus715",0.0417,0.5,0.05,0.4091,0.2143,0.2083,0.0556,0.1364,0,0.15,0.0625,0.2222,0.375,0.125,0.1111,0,0.1875,0.1111,0.0833,0.0556,0.1,0.15,0.0909,0.2083
"locus716",0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.0556,0,0,0,0,0.2778,0,0,0,0
"locus717",0.0833,0.375,0.4,0.0455,0.4286,0.4583,0.4444,0.3182,0.3125,0.25,0.125,0.1111,0.1875,0.25,0.1667,0,0.4375,0.3333,0.4167,0,0.1,0.5,0.3182,0.25
"locus718",0.375,0.1875,0.45,0.2273,0,0.0833,0,0.2727,0.5,0,0.5,0.0556,0.3125,0.25,0.4444,0.3333,0.5,0.3333,0.1667,0.1111,0.3,0.35,0.2273,0
"locus719",0.0833,0,0.05,0,0,0,0,0,0,0.1,0,0.1111,0,0,0.1667,0.3333,0,0,0,0,0,0.05,0,0
"locus720",0,0.0625,0.1,0.0909,0.1429,0.1667,0.4444,0,0,0.05,0.0625,0.1111,0,0.1667,0.0556,0.1667,0.1875,0.1111,0.3333,0.1667,0.05,0.25,0.1364,0.2083
"locus721",0.125,0,0,0.0909,0,0,0.0556,0.0455,0,0,0.0625,0,0,0.0417,0.3333,0,0,0.0556,0,0,0.05,0.1,0.0455,0.125
"locus722",0,0,0.05,0,0,0,0,0.0455,0.0625,0.05,0,0,0.125,0.1667,0,0,0.0625,0,0,0.1111,0.1,0,0,0
"locus723",0.1667,0,0.05,0.1364,0,0.0417,0,0.0455,0,0.1,0.0625,0,0.0625,0.0833,0.0556,0,0.0625,0,0,0.2778,0.25,0.25,0.0909,0
"locus724",0,0,0.1,0.0455,0.2857,0.4167,0.3889,0.0455,0,0.3,0,0.3889,0.0625,0,0,0,0,0.0556,0,0.1667,0.05,0,0.0909,0.1667
"locus725",0.2083,0,0.05,0,0,0,0.0556,0.1364,0,0,0,0,0.0625,0.0417,0.1667,0,0,0.2222,0,0,0.4,0,0,0
"locus726",0.1667,0.4375,0.35,0.1364,0.1429,0.5,0.5,0.2727,0.125,0.2,0.3125,0.2778,0.375,0.1667,0.3333,0.1667,0.125,0,0.4167,0.0556,0.25,0.35,0.3182,0.4167
"locus727",0,0,0,0.0909,0,0.0417,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.0833,0.3333,0,0.05,0.0909,0.0417
"locus728",0,0,0,0,0.2857,0.4583,0.3333,0,0.0625,0,0,0,0,0.0417,0,0.1667,0,0,0.0833,0,0.1,0,0.1818,0.125
"locus729",0.0833,0,0,0.1364,0.0714,0.0417,0,0.0455,0.3125,0.05,0,0,0.0625,0.0417,0.0556,0,0.1875,0.0556,0,0,0,0,0.0455,0.125
"locus730",0.0417,0,0,0,0.0714,0.0833,0,0.0455,0.0625,0.05,0,0,0.125,0.0833,0.0556,0,0.0625,0.1111,0.0833,0,0,0,0.0455,0.125
"locus731",0.375,0.5,0.15,0.4545,0.3571,0.2917,0.2778,0.1364,0.5,0.35,0.5,0.3333,0.5,0.375,0.3333,0.1667,0.375,0.2222,0.4167,0.2778,0.45,0.35,0.4545,0.5
"locus732",0.0833,0,0.05,0,0,0,0,0.1818,0,0,0,0,0.1875,0.0833,0.1111,0,0.0625,0.1667,0.0833,0,0.1,0.1,0,0.0417
"locus733",0.1667,0.1875,0.05,0.0455,0,0.0417,0.1111,0.1818,0.0625,0.1,0.0625,0,0.0625,0.0417,0.1111,0,0.125,0.1111,0,0,0.1,0.05,0.0909,0.0417
"locus734",0,0.25,0.1,0.0909,0,0.0833,0,0.0455,0,0,0,0.1111,0,0,0.0556,0,0,0,0,0,0.05,0.15,0,0
"locus735",0,0.1875,0.1,0.4091,0.1429,0.1667,0.2778,0.0909,0.0625,0.25,0.125,0.1111,0.5,0.125,0.1111,0.3333,0.1875,0,0.25,0.0556,0.2,0.1,0.0909,0.375
"locus736",0.0833,0,0.1,0.3182,0,0,0,0,0,0.05,0,0,0,0.0833,0,0,0.0625,0,0,0,0.25,0,0.3182,0
"locus737",0.25,0.125,0.05,0.0909,0.2143,0.0833,0.0556,0,0.0625,0.05,0.125,0,0.1875,0,0.4444,0.5,0.1875,0.1111,0.0833,0,0.3,0,0.3182,0.0417
"locus738",0.0417,0.125,0.15,0,0.0714,0,0.3889,0.0455,0.0625,0.05,0.375,0,0.1875,0.2083,0.1667,0,0.125,0,0.1667,0,0.1,0.1,0.1818,0.2917
"locus739",0.3333,0.3125,0.2,0.3182,0.4286,0.5,0.2222,0.0909,0.1875,0.15,0.125,0,0.125,0.125,0.3889,0,0.1875,0.2222,0,0,0.3,0.25,0.3182,0.1667
"locus740",0.4583,0,0,0.4545,0,0,0,0,0,0,0.125,0,0.0625,0.0417,0.3889,0,0,0.0556,0,0.2222,0.1,0,0.3182,0
"locus741",0.0833,0,0,0.0909,0,0,0,0.0455,0,0,0,0,0.125,0,0.0556,0,0,0,0.0833,0.1111,0,0.05,0,0
"locus742",0.3333,0.25,0.45,0.4091,0.1429,0.5,0.3333,0.4091,0.5,0.05,0.4375,0.1111,0.375,0.25,0.3889,0.1667,0.25,0.3889,0.5,0.3333,0.4,0.3,0.3182,0.2917
"locus743",0,0.125,0,0,0,0.0833,0,0,0,0.2,0,0.2778,0,0,0,0,0,0.0556,0,0,0,0.05,0,0
"locus744",0.0833,0,0.05,0,0,0,0,0.1364,0,0,0,0,0.0625,0,0.2778,0,0.0625,0,0,0.0556,0,0,0.3182,0
"locus745",0,0.0625,0,0.0455,0.0714,0.0417,0.0556,0.0455,0,0,0,0,0,0.0417,0,0,0,0,0.0833,0,0,0.05,0,0.0417
"locus746",0.2917,0.0625,0,0.1364,0,0.125,0,0.0909,0.25,0.05,0.0625,0.0556,0,0,0.1111,0.3333,0.0625,0.2222,0,0.4444,0.3,0,0.3636,0
"locus747",0,0.125,0.05,0,0,0,0.0556,0,0.0625,0.05,0,0.1667,0.0625,0.0833,0,0,0.125,0.1667,0,0,0,0.1,0,0.0417
"locus748",0.0833,0.25,0.15,0.0455,0,0,0.0556,0.1364,0.125,0.05,0.0625,0.0556,0,0.0417,0.0556,0.5,0.125,0.0556,0,0.1667,0.15,0.1,0.0909,0
"locus749",0.1667,0.0625,0.2,0.0909,0.1429,0.125,0.2222,0.0909,0.25,0.05,0.1875,0.1111,0.1875,0.125,0.1667,0.1667,0.0625,0.1667,0.0833,0.2222,0,0.15,0.1364,0.3333
"locus750",0.0417,0.0625,0,0,0,0.0833,0,0.0455,0.0625,0,0.0625,0,0,0,0,0,0.0625,0,0,0,0.15,0,0.0455,0.0417
"locus751",0.2083,0.125,0.05,0.0909,0.2143,0.2083,0.0556,0,0.1875,0.2,0,0.2222,0.0625,0.0833,0.2222,0,0,0.1667,0.0833,0.0556,0.15,0.15,0.0455,0.125
"locus752",0,0.4375,0.05,0.0455,0.4286,0.25,0.3333,0.0455,0.375,0.2,0.3125,0.1667,0.125,0.0833,0,0,0.0625,0,0.0833,0,0.05,0.15,0.1818,0.4167
"locus753",0.125,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0.0556,0,0.125,0,0,0.3333,0.1,0.2,0.0909,0
"locus754",0.125,0.0625,0,0,0,0.0417,0,0,0.125,0.05,0,0.1111,0.125,0,0,0,0,0.1111,0,0.0556,0.1,0.25,0,0
"locus755",0.125,0.25,0,0.4545,0,0.0417,0,0.0455,0,0.4,0,0.3889,0.0625,0.0417,0.0556,0.1667,0,0,0.0833,0.5,0.05,0,0.0909,0
"locus756",0.125,0.25,0.4,0,0.3571,0.0833,0.5,0.3182,0.0625,0.1,0.375,0.0556,0.0625,0.375,0.1111,0.1667,0.125,0.1111,0.5,0,0.05,0.2,0.0909,0.4167
"locus757",0,0,0.05,0,0.2143,0.1667,0.1667,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.05,0.0909,0.25
"locus758",0,0.0625,0,0.1364,0,0.0417,0.1111,0,0,0,0,0,0,0,0,0,0.0625,0.1667,0,0,0,0.2,0.0455,0
"locus759",0.0417,0,0,0.0909,0,0,0.0556,0,0.125,0,0,0,0,0,0,0,0.0625,0.0556,0,0,0.1,0.05,0,0
"locus760",0.0417,0.0625,0.05,0.0909,0,0,0.1111,0,0.125,0,0,0,0.0625,0,0.0556,0,0.0625,0.0556,0,0,0.05,0.05,0,0.0833
"locus761",0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.0833,0,0,0.0625,0,0,0,0,0,0.1818,0
"locus762",0.0833,0.3125,0.15,0.3182,0.2143,0.1667,0.1667,0.2273,0.375,0.25,0.125,0.2778,0.1875,0.0833,0.1667,0,0.125,0.3333,0.0833,0.0556,0.15,0.15,0.0455,0.1667
"locus763",0,0,0.05,0.0455,0,0.0833,0.2778,0.1818,0.0625,0.1,0,0.1667,0.0625,0.0833,0.0556,0.5,0.1875,0,0,0,0,0.05,0.0455,0.2083
"locus764",0.125,0,0.1,0.0455,0,0,0.0556,0.4091,0,0,0,0,0,0.2083,0.1667,0,0.25,0.0556,0,0,0.1,0.2,0.0455,0
"locus765",0.5,0.0625,0.15,0.3182,0,0,0,0.3182,0.4375,0.05,0.125,0.2222,0.1875,0.3333,0.3889,0.5,0.25,0.1667,0.1667,0.3333,0.4,0.1,0.4091,0
"locus766",0.2917,0.375,0.45,0.4545,0.3571,0.4583,0.4444,0.5,0.4375,0.35,0.3125,0.4444,0.4375,0.375,0.3333,0.3333,0.3125,0.2222,0.4167,0.5,0.35,0.4,0.4091,0.4583
"locus767",0.0417,0,0.05,0.1364,0.0714,0,0.0556,0,0.0625,0,0,0,0,0,0.0556,0.1667,0.0625,0,0,0,0.05,0,0.1818,0
"locus768",0.0417,0.1875,0.15,0.2273,0.5,0.4583,0.2222,0.1818,0.125,0.45,0.3125,0.4444,0.25,0.1667,0.0556,0.5,0.25,0.1667,0.5,0,0.25,0.1,0.4091,0.2917
"locus769",0.25,0.25,0.05,0.0909,0.0714,0.25,0.1111,0.0909,0,0.05,0,0.0556,0.3125,0.0833,0.0556,0,0.0625,0,0,0,0.05,0.15,0.1364,0
"locus770",0.0417,0,0.05,0,0,0.0833,0.0556,0,0,0,0,0,0,0.0417,0,0,0.0625,0.0556,0,0,0.1,0.05,0,0.0417
"locus771",0,0,0,0.0455,0.0714,0.125,0,0,0.0625,0,0,0,0.0625,0,0.1111,0,0.0625,0,0,0,0.05,0,0,0.0417
"locus772",0,0,0.1,0.0455,0,0.0833,0.1111,0.0455,0,0,0.0625,0,0,0.0833,0,0,0.0625,0,0,0,0,0.05,0.0455,0
"locus773",0.0417,0.1875,0,0,0.2143,0.4167,0,0.0909,0,0.1,0.125,0.0556,0.0625,0,0.3889,0,0,0,0.25,0,0.05,0,0.0909,0.125
"locus774",0.125,0,0,0.5,0,0.0833,0,0.0909,0.25,0.1,0,0.1111,0.125,0.0417,0.1667,0.3333,0.125,0.2778,0,0.0556,0.1,0,0.0909,0
"locus775",0,0.0625,0.25,0.0455,0,0.0417,0,0.0909,0.0625,0,0.0625,0.1667,0.0625,0.2917,0.0556,0,0.1875,0.0556,0,0.0556,0.15,0.15,0,0
"locus776",0.3333,0.375,0.45,0.3636,0.3571,0.4583,0.3889,0.4091,0.375,0.2,0.4375,0.1111,0.4375,0.5,0.1667,0.5,0.4375,0.3889,0.0833,0.3889,0.3,0.4,0.3182,0.0833
"locus777",0,0.0625,0,0,0,0.125,0.1111,0,0,0,0,0.1667,0.0625,0.0417,0,0.1667,0,0,0.1667,0.0556,0.05,0.2,0,0.0417
"locus778",0,0,0.05,0.1818,0.4286,0.0833,0.5,0.1818,0,0,0.5,0,0.1875,0.2083,0,0,0.125,0.0556,0.3333,0,0,0.1,0.3182,0.4167
"locus779",0.125,0,0,0.0909,0,0,0,0,0,0.05,0.0625,0.0556,0,0,0,0,0,0,0,0.0556,0.2,0.05,0,0
"locus780",0.1667,0.0625,0.1,0.0455,0,0,0,0.1818,0.1875,0,0.125,0,0.25,0.125,0.0556,0,0,0.1111,0,0,0,0.1,0,0
"locus781",0,0,0.1,0,0.0714,0,0,0,0,0.1,0.125,0.0556,0,0.0833,0,0,0,0,0,0,0,0.05,0,0.0417
"locus782",0,0.125,0.05,0.1364,0,0.0417,0.1111,0,0.0625,0,0.125,0.0556,0.1875,0.1667,0.0556,0,0,0.1111,0.0833,0.1111,0.1,0.1,0.1364,0
"locus783",0.3333,0,0.05,0.2273,0,0,0.1667,0.1818,0.125,0.05,0,0.1111,0.0625,0,0.3889,0.5,0,0.2778,0,0.2778,0.2,0.05,0.1818,0
"locus784",0,0,0,0,0,0,0.2222,0.0455,0.0625,0,0.0625,0.1111,0,0.1667,0,0,0.125,0.1667,0.0833,0,0.1,0.2,0,0.0417
"locus785",0.4583,0.25,0.1,0.0455,0.3571,0.25,0.2778,0.0455,0.125,0.5,0.5,0.1667,0.0625,0.125,0,0.1667,0,0.1667,0.25,0.1667,0.15,0.05,0.4091,0.4583
"locus786",0.4583,0.375,0.3,0.4545,0.2857,0.3333,0.4444,0.4545,0.3125,0.15,0.4375,0,0.375,0.4583,0.2222,0.1667,0.4375,0.4444,0.3333,0.1667,0.35,0.25,0.2727,0.2917
"locus787",0.4167,0.0625,0.5,0.1818,0,0.0417,0.1667,0.4545,0.0625,0.1,0.3125,0,0.375,0.375,0.3333,0.3333,0.3125,0.5,0.4167,0.1111,0.45,0.35,0.4091,0
"locus788",0.2083,0.125,0.05,0.1364,0,0,0.0556,0.0909,0.25,0.05,0.125,0,0.1875,0.0417,0.3333,0.1667,0.0625,0.2222,0,0,0.15,0.35,0.0909,0.0417
"locus789",0.3333,0.375,0.45,0.4091,0.2143,0.5,0.3889,0.3636,0.4375,0.3,0.4375,0.4444,0.5,0.4167,0.3333,0.3333,0.3125,0.5,0.4167,0.3889,0.4,0.4,0.5,0.4583
"locus790",0,0.125,0.1,0.1818,0,0.0417,0,0.0909,0.0625,0,0,0,0,0,0,0,0.0625,0.0556,0,0,0.1,0.15,0,0
"locus791",0.1667,0.0625,0.05,0.1364,0,0,0.0556,0.0455,0.0625,0,0,0,0.1875,0.1667,0.2222,0,0.125,0.1111,0,0.0556,0.05,0.15,0.0455,0.0417
"locus792",0.125,0.25,0.15,0,0,0.0833,0.1667,0,0.0625,0.35,0.0625,0.3889,0.1875,0.125,0,0.1667,0,0,0,0,0,0.05,0.0909,0.0833
"locus793",0.4167,0.5,0.4,0.3636,0.4286,0.3333,0.3333,0.3182,0.375,0.4,0.1875,0.3333,0.5,0.5,0.4444,0.5,0.4375,0.3889,0.5,0.3889,0.3,0.5,0.3636,0.25
"locus794",0,0,0.15,0,0,0,0.0556,0.0909,0,0,0,0,0.25,0.2083,0,0,0,0.2778,0,0.1111,0,0.05,0.0455,0.0833
"locus795",0.2083,0,0.05,0,0,0,0,0.0455,0,0,0.0625,0,0,0.0417,0,0.3333,0.0625,0.1667,0,0.0556,0,0,0,0
"locus796",0.0417,0.0625,0,0.2273,0,0.125,0,0,0,0.3,0,0.2222,0,0.0417,0,0,0,0.0556,0,0,0.15,0,0.0455,0
"locus797",0.2083,0.5,0.45,0.2273,0.4286,0.3333,0.3333,0.4545,0.3125,0.2,0.375,0.0556,0.5,0.4583,0.2222,0.5,0.5,0.2222,0.25,0.1667,0.1,0.3,0.2727,0.3333
"locus798",0.0417,0.5,0.05,0.2273,0.2857,0.2083,0.3333,0.0909,0.0625,0.3,0.4375,0.4444,0.125,0.2083,0,0.3333,0.1875,0.0556,0.4167,0.1111,0.1,0.3,0.1818,0.4583
"locus799",0.0417,0.125,0.1,0,0.1429,0,0.0556,0.0455,0,0.25,0.0625,0.0556,0.3125,0.125,0,0,0.0625,0.0556,0.0833,0,0.05,0,0,0
"locus800",0.0417,0.0625,0.05,0,0,0.125,0,0.1364,0,0,0,0.0556,0,0,0.1111,0,0,0.1111,0,0,0,0.05,0,0.0417
"locus801",0,0.0625,0.15,0,0,0,0.1111,0.0909,0,0,0.0625,0,0,0,0,0,0.0625,0,0.0833,0.2778,0.05,0,0,0
"locus802",0.1667,0,0.1,0,0,0,0.1667,0,0,0,0.25,0,0.0625,0.0833,0,0.1667,0.25,0.1667,0.1667,0,0,0.1,0,0.0833
"locus803",0.0417,0,0.05,0.0455,0.0714,0,0.2222,0.0455,0,0.05,0,0.0556,0,0.125,0.0556,0,0.0625,0.0556,0.0833,0,0,0.05,0,0.0417
"locus804",0.4167,0.3125,0.45,0.5,0.5,0.5,0.4444,0.5,0.4375,0.2,0.4375,0.3333,0.3125,0.4583,0.4444,0.5,0.5,0.3333,0.4167,0.3889,0.4,0.45,0.4545,0.3333
"locus805",0,0,0,0.1818,0,0,0.3333,0,0,0.05,0,0,0,0.0833,0,0,0.0625,0.0556,0,0.3333,0.25,0,0.2727,0
"locus806",0,0.125,0,0,0.1429,0,0.0556,0,0.0625,0,0,0,0.1875,0,0.0556,0,0,0,0,0,0,0.1,0.3182,0
"locus807",0,0,0,0,0,0.2083,0,0.0455,0.0625,0.3,0,0.4444,0,0.0417,0,0,0,0,0,0,0,0.05,0.0455,0
