"","AS","BA","BB","BC","CA","CR","DA","FC","FV","GB","KC","MC","ML","OF","PC","PM","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus1523",0.7917,0.8125,0.9,0.9091,1,0.9167,1,1,0.9091,1,0.6429,1,0.7143,0.9286,1,1,0.9444,0.8333,1,0.9444,1,0.9545,0.9,0.95,1,1
"locus1524",0.75,1,0.9375,0.6,0.9444,1,1,0.7143,0.8,0.9375,1,1,1,0.9286,0.75,1,1,0.6667,1,0.8125,0.9286,0.75,0.75,0.9167,0.9444,0.7
"locus1525",1,1,1,1,0.7857,0.5909,1,0.7778,0.9545,1,0.7222,1,0.75,1,0.9583,1,1,1,0.9375,0.9444,1,1,0.95,1,0.9545,0.9167
"locus1526",0.6111,1,0.8889,0.85,1,1,0.8,1,0.95,1,1,1,1,0.9375,0.8636,1,0.8125,0.8333,0.9375,0.8571,0.9286,0.125,0.85,0.9,0.7727,0.9545
"locus1527",1,0.9375,0.9,0.8,1,0.8636,0.6,0.9444,0.8636,0.8125,0.9545,1,0.95,1,0.9583,0.6429,0.6667,1,1,0.9444,1,0.9545,0.8889,1,1,1
"locus1528",0.7917,0.9375,1,0.7273,1,1,0.75,1,1,1,1,0.875,1,0.9375,0.9583,0.7857,1,1,1,1,1,1,1,0.95,1,1
"locus1529",0,0.1429,0,0.0455,0,0.0417,0,0.0556,0,0.125,0.5,0.125,0.2,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.0417
"locus1530",1,0.9375,1,0.9545,1,0.8,1,0.6429,1,1,1,0.875,0.95,1,0.9167,1,1,0.8333,1,1,0.5,0.9545,0.95,0.9,0.9545,1
"locus1531",0.0417,0.0625,0.15,0.1364,0,0.0417,0.625,0,0.1364,0,0.0909,0,0,0.0625,0.1364,0.8636,0.0556,0,0.2143,0.0556,0,0,0.05,0,0.1364,0
"locus1532",0.7917,0.875,1,1,0.7778,0.9583,1,0.7778,0.9545,0.75,1,1,1,1,1,1,1,1,0.9375,1,1,0.9545,0.7222,1,0.9545,0.875
"locus1533",0.1875,0.375,0.3,0.4444,0.1,0.35,0,0.2143,0.125,0.1429,0.05,0.8333,0.05,0.25,0.1364,0,0.0714,0.5,0.1429,0.3,0.375,0.375,0.1,0.5625,0.3,0.1364
"locus1534",0.6,1,0.7857,0.875,0.9444,0.8636,0.6667,0.8125,0.75,1,0.9091,0.9,1,0.8333,0.9167,0.5625,0.8,0.5,0.9375,0.75,0.9286,0.625,0.95,1,0.6875,0.9583
"locus1535",0.4167,0.0714,0.1667,0.5,0.2,0.125,0.4,0.2222,0.3125,0.5625,0.35,0.5,0.5714,0.25,0.1667,0.65,0.2778,0.5,0.1429,0.125,0.25,0.5556,0.45,0.0714,0.1667,0.2
"locus1536",0.1667,0,0,0.0909,0,0.0417,0,0.1667,0,0.125,0.1667,0,0.1667,0.0625,0.0833,0,0,0,0.125,0,0,0.2222,0.05,0,0,0.0417
"locus1537",1,1,1,1,0.6,0.8333,1,0.7778,1,1,1,0.9375,0.95,1,1,1,1,1,1,0.9444,1,0.9545,1,1,1,0.9167
"locus1538",0.55,0.4,0.6,0.4444,0.5,0.5556,0.75,0.4167,0.7143,0.5714,0.5625,0.5,0.3889,0.7857,0.6818,0.875,0.7143,0.5,0.5,0.9167,0.5,0.0714,0.4444,0.6667,0.4167,0.5
"locus1539",1,1,0.85,1,1,1,1,1,0.9545,1,0.9545,1,1,1,0.8182,1,1,1,0.875,1,1,1,1,1,1,1
"locus1540",0.875,1,0.8125,1,1,1,0.7,1,0.9545,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1
"locus1541",0.85,0.5833,0.6667,0.8333,0.4375,0.875,0.6,0.5714,0.7143,0.5,1,0.625,0.95,0.75,0.6667,0.5,0.8,0.75,0.7,0.5,0.625,0.75,1,0.75,0.6,0.6364
"locus1542",1,1,1,1,0.8571,0.9167,1,0.7778,1,0.9375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8571
"locus1543",1,1,1,0.8636,1,1,1,1,1,1,0.9091,0.9375,0.95,0.9375,0.9167,1,1,1,1,1,1,1,0.95,1,0.9091,1
"locus1544",0.5833,0.375,0.2222,0.15,0.3125,0.125,0.125,0.125,0.2727,0.2857,0.1364,0.5,0.15,0.4375,0.3333,0.5,0.2222,0.5,0.2857,0.3889,0.2857,0.55,0.35,0.3,0.45,0.2083
"locus1545",0.65,0.9375,0.9,1,1,1,1,1,0.9545,0.9375,1,0.9375,0.95,0.8571,1,0.9091,0.8333,1,0.9375,0.7778,1,0.9091,1,0.9,0.7273,1
"locus1546",1,1,0.85,0.95,1,1,1,0.9444,0.95,1,1,0.875,1,1,0.7727,0.9545,1,1,0.8125,1,0.7143,0.875,0.95,0.8,0.9091,1
"locus1547",1,0.8571,1,0.9545,1,0.875,0.8,0.9444,1,0.875,0.8,0.9375,0.9444,1,1,1,1,1,1,1,1,1,1,0.9,1,0.9583
"locus1548",0.5556,0.5,0.4375,0.3125,0.1111,0.2727,0,0.5,0.3,0.6,0.0833,0.4286,0,0.5,0.5,0,0.3571,0,0.5,0.5,0.375,0.25,0.1875,0.6429,0.1667,0.3
"locus1549",0.9167,0.875,0.95,0.8333,1,0.9583,1,1,1,0.875,0.8636,1,1,0.8125,0.875,0.9545,0.8333,0.6667,0.8125,1,1,1,0.95,0.85,0.9091,0.9583
"locus1550",0.7727,0.75,0.7,0.65,0.7222,0.6,0,0.9375,0.5,0.5,0.8,0.6875,0.8333,0.2857,0.7917,0.05,0.3889,0.5,0.8333,0.3889,0.8571,0.6667,0.7778,0.55,0.6,0.8636
"locus1551",1,1,0.9444,1,1,0.9583,1,1,1,0.9286,1,1,1,1,1,0.9545,0.7778,1,0.875,0.75,1,1,1,1,1,1
"locus1552",0.9167,1,0.95,1,1,0.9583,1,1,0.95,1,1,1,1,1,1,1,0.9444,0.8333,1,0.8889,1,0.9545,1,1,1,1
"locus1553",0.3182,0,0.1,0.15,0,0,0.1,0.1875,0.2273,0.25,0,0.2143,0,0.1875,0.0417,0.15,0.3125,0.5,0.0625,0.2222,0.0714,0.3,0.35,0.1,0.3636,0
"locus1554",0.9583,0.9375,0.95,0.9091,0.9444,0.9583,NA,1,0.95,0.6875,0.9545,1,0.8,1,0.9583,1,0.9444,0.8333,0.8125,1,1,0.9545,0.95,0.95,1,0.9583
"locus1555",0.9,0.9375,0.9,1,0.75,0.9167,1,1,0.8636,1,0.8182,0.9375,0.8571,0.875,0.9583,0.8333,0.9444,1,0.9375,0.8889,0.9286,1,1,0.7778,0.9545,0.85
"locus1556",0.9583,0.9167,0.35,0.9545,1,1,1,0.9444,0.3636,1,0.9091,0.7,0.7,0.8125,0.5,0.9545,1,NA,0.75,0.8125,1,1,0.95,0.5625,0.9545,0.9583
"locus1557",0.9545,1,0.6429,1,1,1,0.9,0.8889,0.9444,0.9375,1,1,1,1,0.95,0.9545,1,0.75,0.7143,0.7857,0.8,1,0.85,0.6875,1,0.9167
"locus1558",0.9091,0.875,0.8125,0.7,1,1,0.5,0.8125,0.7222,0.9286,1,1,0.9,1,0.8333,0.6111,1,0.8333,1,0.75,1,1,0.8125,0.875,0.9,0.9583
"locus1559",1,1,0.9,0.9091,0.9444,0.9167,1,0.9375,0.8182,0.8571,0.9091,0.9375,0.9,0.9375,0.875,0.9091,0.9444,1,0.8571,0.9444,0.8571,1,0.95,0.85,0.9091,1
"locus1560",0.9545,1,1,1,1,1,1,0.8889,1,0.9375,1,0.75,1,1,1,1,1,1,0.875,1,0.5833,0.6875,1,1,1,0.9583
"locus1561",0.9583,0.9375,0.9444,0.9091,0.9444,1,1,0.9444,0.9545,0.875,0.9545,0.9375,0.95,0.9286,0.9583,0.9545,0.9444,1,1,1,1,1,0.95,0.95,1,1
"locus1562",0.4091,0.7857,0.65,0.75,1,1,0.8333,0.75,0.55,1,0.8636,0.75,1,0.5,0.6364,0.8571,0.5556,0.5,0.7,0.5,0.75,0.5,0.3571,0.6667,0.4091,1
"locus1563",1,0.9375,1,1,1,1,0.7,1,0.9545,1,0.9545,1,1,0.9375,0.9583,0.45,1,1,1,0.9444,1,1,1,1,0.95,0.9583
"locus1564",1,1,1,0.8,1,1,1,0.9444,1,1,1,1,1,1,0.9583,0.9545,0.8889,0.8333,0.9375,1,1,0.9545,0.95,1,1,1
"locus1565",0,0.125,0,0,0,0.125,0,0.1429,0,0,0.0455,0,0,0,0,0,0,0,0.0625,0,0,0.0455,0,0,0,0.2273
"locus1566",0.0417,0.125,0.1667,0,0,0.0417,0,0.1111,0.1818,0,0,0,0,0.0625,0.1364,0,0.1667,0.1667,0.25,0.0556,0.1429,0,0.1,0.1,0.0909,0
"locus1567",0.7273,0.2857,0.35,0.5455,0.625,0.0833,1,0.5556,0.2778,0.8125,0.1818,0.4286,0.1111,0.7143,0.5,0.8,0.875,0.8333,0.2,0.6875,0.8333,0.8125,0.7,0.45,0.5714,0.4375
"locus1568",0.0417,0.0625,0,0.0909,0.0833,0.0417,0,0.125,0.0455,0,0,0,0,0,0.125,0,0,0,0.0625,0,0.0714,0,0.05,0.05,0.2727,0.0556
"locus1569",0.75,0.75,0.4375,0.3125,1,0.875,1,0.75,0.75,1,0.9545,0.8571,1,0.6875,0.6364,0.95,0.8333,1,0.5,0.9375,0.7857,0.9545,0.9444,0.6111,0.9444,0.9167
"locus1570",0.9167,1,1,1,1,1,1,1,0.9545,1,1,0.9375,0.9,1,0.8333,1,1,1,1,0.9444,0.9286,1,0.95,0.95,1,1
"locus1571",0.9167,1,1,1,1,1,0.7,1,1,1,0.9091,1,0.85,1,1,0.8333,1,1,1,1,1,1,0.7778,0.95,1,1
"locus1572",0.95,0.25,0.8889,0.4167,0,0.1,0.75,0.25,0.9167,0.6667,0.1,1,0,0.9,1,0.5455,0.8571,1,0.8571,0.6429,0.6,1,0.875,0.8,0.6667,0.4286
"locus1573",0.9583,0.9375,0.95,1,1,1,1,1,1,1,1,1,1,0.9375,1,1,0.875,1,1,1,1,0.6429,1,1,1,1
"locus1574",0.2083,0.0625,0,0.0455,0.1429,0.0833,0,0.1111,0,0.0625,0.0455,0,0.05,0,0.0417,0,0.2778,0,0,0,0.0714,0,0.2778,0.1,0.1,0.0833
"locus1575",0.6364,0.3125,0.375,0.3636,0.1111,0.4545,0.2,0.5,0.3182,0.5,0.4091,0.125,0.3571,0.4375,0.3182,0.4091,0.5,0,0.4375,0.3889,0.3,0.2273,0.3889,0.2,0.5,0.5
"locus1576",0.3889,0.625,0.35,0.8571,0.8889,0.6818,0.1,0.7778,0.6364,0.8125,0.8571,0.75,0.8571,0.6429,0.5909,0.7143,0.5556,0.8333,0.5,0.3333,1,0.6818,0.7778,0.8,0.5,0.875
"locus1577",0.875,0.875,0.9,0.9091,0.8333,0.875,0.9,0.8333,0.8636,0.875,0.8182,1,0.7778,0.9375,0.7083,1,1,1,0.7857,0.9444,0.9286,1,1,0.95,0.8636,0.875
"locus1578",0.2143,0.3125,0.3333,0.0909,0.4,0.55,0,0.2,0.25,0.4,0.4,0.25,0.3,0.125,0.2,0.3,0.125,0.5,0.5,0,0.3333,0.05,0.1,0.3333,0.125,0.0625
"locus1579",1,1,1,0.75,0.9444,1,1,1,1,1,1,0.9375,1,1,0.9167,0.9545,1,0.8333,1,0.9444,1,0.5625,0.85,1,0.6111,1
"locus1580",1,1,0.95,1,1,1,1,1,0.8182,1,1,1,1,0.9375,0.9091,1,1,0.8333,0.9375,1,1,1,1,1,1,1
"locus1581",0.9583,0.8571,0.95,0.65,0.5,0.8,1,1,0.9545,1,0.7857,0.6667,0.875,1,0.9167,1,1,0.5,0.875,1,1,0.9091,1,1,0.9444,0.75
"locus1582",1,0.9286,0.95,1,0.9444,0.9167,1,1,1,1,0.9091,0.9375,0.95,0.9286,0.9583,1,1,1,0.9375,1,1,1,1,1,1,1
"locus1583",1,1,1,1,0.9444,1,1,0.9444,0.9545,1,1,0.8125,1,1,1,1,1,1,1,1,0.9286,1,0.95,0.9,0.9545,0.875
"locus1584",0.2727,0,0.1875,0.4,0.0714,0.4167,0.1,0.5,0.2222,0.125,0.25,0.375,0.375,0.3,0.375,0.1364,0.0556,0.5,0.3333,0.0833,0.5,0.0455,0.2222,0.3889,0.25,0.3182
"locus1585",0.2083,0.0625,0.1429,0.25,0,0,0,0,0.1111,0.1429,0.0455,0,0,0,0.4375,0.375,0.1111,0,0.375,0.0625,0,0,0,0.1,0,0
"locus1586",0.5417,0.6429,0.4167,0.6818,1,0.9167,0.6,0.8333,0.5,0.5625,0.8636,0.5,0.95,0.625,0.4545,0.8,0.5,0.3333,0.7143,0.6667,0.7143,0.4545,0.55,0.5,0.75,0.9545
"locus1587",1,1,1,0.9545,1,0.9583,1,0.8333,0.9545,0.75,1,0.9375,1,0.875,0.8333,1,1,0.8333,0.7857,1,0.8571,0.75,1,0.85,1,0.9167
"locus1588",0.6111,0.6667,0.8,0.625,0.6667,0.9583,0.5,0.6875,0.95,0.875,1,1,0.8889,0.8125,0.95,0.3889,0.625,0.8333,0.8571,0.7857,1,0.6667,0.7857,0.9375,0.875,0.9
"locus1589",0,0,0.05,0,0.0556,0.2083,0,0.1111,0,0,0.1,0,0,0.0625,0.0833,0,0,0,0,0,0.0714,0,0.05,0.2,0,0.0417
"locus1590",1,1,1,1,1,0.875,NA,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.9545,1
"locus1591",0.9583,0.8125,0.9,0.8636,1,0.875,0.625,1,0.9545,0.875,1,1,1,1,0.9583,0.5833,0.9444,1,1,0.8889,1,1,1,1,1,1
"locus1592",0.7727,0.5,0.95,0.5625,0.7,0.5833,NA,0.4,0.9545,0.5,0.8125,1,0.5,0.875,0.6364,0.75,0.75,0.6667,0.9375,0.9,0.25,0.7,0.5,0.8333,0.6,0.8
"locus1593",0.8333,0.9375,0.95,0.9545,0.9444,0.9583,1,0.9444,0.9545,1,1,1,1,0.9286,1,1,0.9444,1,0.9375,1,1,0.9545,1,1,0.7727,0.9545
"locus1594",1,1,0.95,0.7273,1,1,1,0.9444,1,1,1,1,1,1,0.9167,1,1,1,1,0.8889,1,0.3889,1,0.95,1,1
"locus1595",0.0417,0.5,0,0.3125,1,0.6667,0,0.7778,0.3125,0,0.5909,0.0833,0.8889,0,0,0,0.1667,0,0.25,0.1875,0.2,0,0.2222,0,0.5,0.875
"locus1596",0.9167,0.625,0.5,0.875,0.7143,0.7,1,0.625,0.9375,0.75,0.875,0.6667,0.6429,0.7,0.6429,0.95,1,0.8333,1,0.9286,0.5,0.95,0.75,0.6667,1,0.6364
"locus1597",1,0.875,1,0.9545,1,1,1,0.9444,0.8636,1,1,0.875,1,1,1,1,1,1,1,1,1,1,1,0.9,1,0.9583
"locus1598",1,0.6875,0.95,0.95,0.9444,0.8333,1,0.9444,1,0.75,0.8333,1,0.8333,0.9375,1,1,1,1,0.9375,0.9444,1,1,0.95,1,0.9545,0.9167
"locus1599",0.2222,0.7,0.4444,0.3571,0.3,0.5556,1,0.4167,0.4286,0.6667,0.8333,0.375,0.9167,0.5,0.5,1,0.25,0.5,0.25,0.5,0.5833,0.0455,0.1875,0.5,0.3571,0.4545
"locus1600",0.9167,0.875,0.9,0.7273,1,0.9545,0.125,0.9444,0.85,0.6667,0.9545,1,0.95,0.8125,1,0.6667,0.8333,1,0.9375,1,0.9286,0.9545,1,0.9,0.9545,0.8333
"locus1601",0.9583,1,1,0.9091,0.8333,0.9583,1,0.9444,1,1,0.9545,1,0.85,1,1,1,1,1,1,1,1,1,0.95,1,1,0.9583
"locus1602",0,0,0,0,0,0,0,0,0.0455,0,0,0.0625,0,0.25,0.0455,0,0,0.1667,0.125,0.1667,0,0.0455,0,0,0,0.0417
"locus1603",0.6111,0.875,0.85,0.8889,0.9,1,1,0.6667,0.9545,0.9167,1,0.8571,1,1,0.9091,0.9545,0.9167,0.75,0.9286,0.9,1,0.9286,0.8571,0.9375,0.8,0.4167
"locus1604",1,0.9375,1,1,0.625,1,1,1,1,0.9375,1,1,1,0.875,1,1,1,0.8333,1,1,1,1,1,0.85,0.8636,0.8636
"locus1605",0.9091,0.9375,0.9375,1,1,1,0.9,1,0.8333,1,0.9091,1,1,0.6429,0.8333,1,0.8889,1,0.7857,0.8571,0.9286,0.8,0.95,0.8889,1,1
"locus1606",0,0.2857,0,0,0,0.3182,0,0,0.0455,0,0,0,0,0,0.0833,0,0,0,0,0,0,0,0,0.05,0,0
"locus1607",0.0417,0,0.05,0,0,0,0.5,0,0,0.125,0,0,0,0,0,0.5556,0,0,0,0,0,0,0.05,0.05,0,0
"locus1608",1,1,0.9,1,1,1,1,0.9444,0.9545,1,1,1,1,1,0.9583,1,1,1,0.625,0.8889,1,1,1,0.95,1,1
"locus1609",0.2727,0.5,0.4444,0.6818,0,0.5,0.875,0.1667,0.4545,0.6429,0.3333,0.25,0.3,0.3125,0.5,0.5909,0.1667,0.8333,0.4375,0.6667,0.2143,0.6364,0.5,0.375,0.4091,0.1875
"locus1610",1,0.9375,0.9444,1,1,1,1,0.9444,0.7273,1,1,1,1,0.75,0.9167,1,0.9444,0.8333,0.875,0.7778,0.7857,1,1,0.75,0.9545,0.9091
"locus1611",1,0.9375,1,1,0.8889,0.875,1,1,1,0.875,0.9545,1,1,1,0.9167,0.9545,1,0.8333,0.7143,1,0.7143,1,0.7778,0.9,0.9545,0.9583
"locus1612",0.125,0.1875,0.0556,0.35,0.0625,0.2083,0,0.5,0.0909,0,0.05,0.375,0.15,0.125,0.25,0,0.125,0,0.25,0.1111,0.5,0.0909,0.2222,0.25,0,0.375
"locus1613",0.8636,0.1667,0.2857,0.55,0.0556,0.0417,0.75,0.3333,0.7,0.4286,0.0909,0.3,0.05,0.2143,0.15,0.8889,0.6667,0.1667,0.3333,0.5,0.375,0.8333,0.375,0.2857,0.2857,0.1364
"locus1614",0.875,1,0.9,0.7273,1,0.8333,1,0.8889,0.9091,1,1,0.9375,1,0.9375,0.9167,1,0.8889,1,1,0.9444,0.9286,0.9545,0.9444,0.85,0.8182,0.9167
"locus1615",1,1,1,1,0.6667,0.85,1,0.875,1,1,0.875,1,1,1,1,1,1,1,1,1,0.9167,1,1,1,0.8636,0.6875
"locus1616",0.1667,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0.1111,0.1667,0,0,0,0.2727,0.15,0,0,0
"locus1617",1,0.8571,1,1,0.9286,0.9545,1,1,1,1,0.5,1,0.6667,0.9375,1,1,0.8889,1,1,1,1,1,0.95,1,1,1
"locus1618",0,0.3125,0.05,0,0,0.0417,0,0.0556,0.1364,0,0.0455,0.0625,0.25,0.0625,0.1667,0.1364,0,0,0.125,0.0556,0,0.0455,0.05,0.2,0,0.2083
"locus1619",1,1,1,1,1,0.9583,1,0.7778,1,1,1,0.875,1,1,1,1,1,1,1,1,0.6667,0.9545,1,1,1,1
"locus1620",0.2273,0.5833,0.4444,0.625,0.9167,0.55,0,0.4375,0.5,0.25,0.9286,0.3,0.95,0.5,0.625,0.3182,0.1111,0.75,0.4,0.2222,0.3333,0.1,0.1667,0.6111,0.1111,0.3333
"locus1621",1,1,1,1,0.5556,1,1,0.8889,1,1,1,1,1,1,1,1,0.7222,1,1,1,1,1,1,1,1,1
"locus1622",1,1,0.9,0.95,1,0.875,1,1,0.8636,1,1,1,1,1,0.9167,0.5833,1,0.8333,1,0.9444,1,1,1,1,0.9091,0.9583
"locus1623",0.35,0.4286,0.5625,0.4444,0.2778,0.5,0,0.5714,0.5556,0.1667,0.5,0.5,0.25,0.5,0.5455,0.1364,0.2857,0.6667,0.5714,0.2143,0.5714,0.6111,0.3333,0.45,0.3889,0.4444
"locus1624",0.1667,0.1429,0.15,0,0.2143,0.0455,0.9,0.0625,0.1364,0.5625,0.1667,0.0833,0.3,0.0625,0.0417,0.9,0.0625,0,0.125,0.0556,0.0714,0.0455,0.1,0.05,0.0909,0.05
"locus1625",0.5,0.2857,0.5,0.3,0.4444,0.625,1,0.3333,0.625,0.625,0.4,0.7143,0.45,0.3125,0.625,0.9091,0.1875,0.5,0.6,0.7143,0.4286,0.45,0.5556,0.4375,0.6,0.375
"locus1626",0.6111,0.75,0.5833,0.5714,1,1,0,0.8333,0.7727,0.625,0.8889,1,1,0.8,0.6111,0.25,0.4444,0.5,0.5,0.6429,1,0.6429,0.5,0.875,0.8,0.9583
"locus1627",0.4,0.8125,0.7857,0.6111,0.7143,0.5455,0,0.6667,0.35,0.5714,0.65,0.5,0.6,0.25,0.5833,0.375,0.4444,0.5,0.4286,0.3889,0.1667,0.1818,0.45,0.6667,0.5,0.8333
"locus1628",0.3636,0.6875,0.4,0.5,0.8571,0.9583,NA,0.5,0.3182,0.6429,0.8636,0.375,1,0.5,0.3,0.75,0.2778,0.1667,0.8571,0.4444,0.2857,0.5,0.7,0.5556,0.55,0.6364
"locus1629",0.75,0.4286,0.7,0.95,0.0714,0.4167,1,0.2857,0.6,0.7857,0.2727,0.6429,0.05,0.8125,0.5833,0.9545,0.6111,0.5,0.5714,0.875,0.7,0.9545,0.75,0.55,0.6111,0.1818
"locus1630",1,1,0.95,1,1,1,1,1,0.9091,1,0.9545,1,0.95,0.875,0.9091,1,1,1,0.9375,1,1,1,0.95,0.9,0.9545,1
"locus1631",0.55,0.8333,0.5556,0.95,1,0.8333,0.1,0.9167,0.7,0.4375,0.9,1,0.9444,0.5833,0.625,0.0455,0.5,0.6667,0.7,0.4286,0.875,0.5,0.8,0.5714,0.6667,0.6364
"locus1632",0.8333,0.5,0.5625,0.7222,0.6667,0.4583,0.4,0.6667,0.7273,0.5833,0.3,0.6429,0.35,0.7143,0.5455,0.9444,0.8333,0.8333,0.4286,0.6667,0.7143,0.375,0.8,0.5,0.6818,0.5833
"locus1633",0.8333,1,1,1,1,0.9583,1,1,0.9091,0.9375,1,0.9375,1,0.9375,1,1,1,0.8333,0.9375,0.9444,0.9286,0.7,1,0.9,1,1
"locus1634",1,1,0.85,1,1,1,1,1,0.8636,1,1,1,1,1,0.9583,1,1,0.8333,0.9375,0.9444,1,1,1,0.9,1,1
"locus1635",1,0.875,0.85,1,1,1,1,1,0.7727,1,1,1,1,1,0.9583,1,1,1,0.9375,0.8889,1,1,1,1,1,1
"locus1636",0.9167,1,0.95,1,1,1,0.3,1,0.9545,0.875,1,1,1,0.8125,1,0.7,1,1,0.9375,1,1,1,1,0.9,0.9545,0.9583
"locus1637",0.9583,0.9375,0.95,1,0.75,0.875,1,1,0.9545,0.9375,0.8889,1,0.6,1,0.9545,0.8636,1,0.8333,0.9375,0.8333,1,1,1,1,0.9545,1
"locus1638",0.0417,0,0,0.1818,0,0.0417,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0.1111,0,0,0,0,0.0455,0
"locus1639",1,0.6875,0.9,1,1,0.7273,1,1,0.9091,0.875,0.9545,0.9375,0.9,0.8125,0.9167,1,1,1,1,0.875,0.9167,0.9091,1,0.9,0.95,1
"locus1640",0.9583,0.9375,0.95,1,1,0.9167,1,1,0.9545,0.8571,1,0.9375,0.9,1,0.9583,1,1,1,0.875,1,1,1,1,0.9,1,1
"locus1641",0.8636,1,0.75,0.9091,1,1,1,1,0.7727,1,0.9545,0.875,1,0.9375,0.7083,1,0.9444,1,0.9375,0.9444,0.9286,1,0.95,0.85,0.85,1
"locus1642",0.0556,0.0833,0.5625,0,0.25,0.1364,0.25,0.3571,0.2778,0.125,0.25,0.4167,0.1875,0.2857,0.5625,0.1,0.3,0.75,0.5,0.2857,0.8,0,0.625,0.3,0.2778,0.4375
"locus1643",0.9091,0.6429,0.9444,0.7778,1,0.8889,1,0.5,0.8333,0.8571,0.9,0.75,0.8,0.9286,0.8636,0.9545,1,0.8333,0.8571,0.6111,0.5833,0.9,0.85,0.85,1,0.85
"locus1644",0.8636,1,0.95,0.8889,1,1,1,0.9444,0.9545,1,1,0.9375,0.9,1,0.9167,0.9444,0.5714,1,1,0.8889,1,0.8636,0.8125,0.8889,1,0.9583
"locus1645",0.75,1,1,0.5625,1,0.8333,1,1,1,0.9375,0.9545,1,0.9,1,0.9583,1,1,1,0.9375,1,1,0.6667,0.9444,0.95,1,1
"locus1646",0.9167,1,0.8571,1,1,1,1,0.8889,1,0.9375,1,1,1,0.9375,0.8333,0.9545,0.9444,1,0.7143,0.9444,0.9286,1,1,0.95,0.9545,0.9583
"locus1647",0.375,1,0.9286,1,1,1,0.5,0.9444,0.7,0.5,0.9444,1,0.95,0.5,1,0.625,0.5,0.8333,1,0.625,0.9286,0.6,0.7,0.9167,0.75,0.9583
"locus1648",0.9167,0.875,0.95,0.9545,1,0.9091,1,0.9444,1,0.9375,0.9545,1,1,1,0.9583,1,1,1,1,1,1,1,1,1,0.9545,0.9583
"locus1649",0.0417,0.4375,0.1667,0.2222,0.1429,0.4583,0.2,0.625,0.3182,0,0.3,0.4167,0.4,0.3125,0.2727,0.2778,0.3889,0,0.375,0.0556,0.5714,0.2727,0.0556,0.45,0.2,0.5
"locus1650",1,0.9375,1,0.9545,0.9444,1,1,0.9444,1,0.875,0.95,1,1,0.875,1,0.8182,1,0.8333,0.875,1,1,0.7778,0.9,0.9,0.7778,1
"locus1651",0.4,0.75,0.8125,0.7778,1,0.75,0.3,0.9375,0.6,0.9375,0.8182,0.6875,1,0.7857,0.75,0.4,0.3571,1,0.625,0.5833,0.8,0.8333,0.8889,0.6875,0.6429,0.9167
"locus1652",0.9583,1,1,1,0.125,0.4,1,0.8333,1,0.9375,0.5,1,0.3125,1,0.8636,1,1,1,0.875,1,1,1,0.95,1,0.7778,0.65
"locus1653",0,0,0.2,0.0455,0,0,0,0,0.2273,0,0,0.0625,0,0,0.0417,0,0,0,0.0625,0.0556,0,0,0,0,0.0455,0
"locus1654",0.0909,0.0714,0.3333,0.1,0,0.0833,0.25,0.0625,0.25,0.375,0,0.0833,0.1,0.2,0.2,0.2,0.1875,0.3333,0.4286,0.4444,0.1667,0.5,0.2143,0.5,0.2,0.0417
"locus1655",0.0833,0.25,0.15,0.0455,0.1667,0.375,0,0.125,0.0455,0,0.5,0.2143,0.5625,0.1875,0.0833,0.0455,0,0,0.0714,0,0.3333,0.0455,0.2,0,0.0455,0.2273
"locus1656",0,0.0625,0.05,0,0.1111,0.2917,0,0.1111,0,0,0.1818,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.0455,0.0417
"locus1657",0.875,0.875,0.85,1,1,1,1,0.9444,0.9091,1,1,1,1,0.875,0.9167,1,0.8889,1,0.9375,0.8333,1,1,1,1,1,0.9583
"locus1658",0.4375,0.4286,0.3125,0.5,0.5833,0.5909,0.1667,0.5625,0.45,0.4,0.6875,0.4286,0.75,0.4286,0.4444,0,0.6429,0.6667,0.5714,0.5,0.625,0.1111,0.5,0.5556,0.3889,0.7857
"locus1659",0.3333,0.2,0.2222,0.0625,0,0.0417,1,0.125,0.375,0.4,0.0909,0.1667,0,0.2143,0.2273,0.8571,0,0,0.0833,0.5,0,0.1429,0.2,0.125,0.2,0.125
"locus1660",1,0.9375,1,1,0.5,1,1,0.875,1,1,0.9545,1,0.9444,1,1,1,1,1,0.9375,1,1,1,0.95,1,0.9091,0.8182
"locus1661",0.9583,0.9375,0.95,1,1,0.75,1,1,1,1,1,0.875,1,1,0.9583,1,1,0.8333,1,0.9444,1,1,1,0.95,1,1
"locus1662",0,0.1875,0.0556,0.0455,0,0.0833,0,0,0,0,0.0455,0,0,0.0625,0,0,0,0,0.25,0,0,0,0.05,0,0,0.0833
"locus1663",1,1,0.95,1,0.9444,1,0.9,0.9444,1,0.9375,1,0.875,1,0.9375,1,0.9545,0.9444,0.6667,0.9375,0.9444,1,1,1,0.9,1,0.875
